feature,cohens_d,symmetric_auc,directional_auc,mann_whitney_p,abs_cohens_d
C4_arburg4,0.10448282668384455,0.5440640261159158,0.5440640261159158,0.03337749566324946,0.10448282668384455
C4_arburg2,0.09668207702542343,0.5456501994234491,0.5456501994234491,0.027517124709530466,0.09668207702542343
C3_low_gamma_power,-0.09463550186196167,0.5486382603430346,0.4513617396569653,0.01885507552365294,0.09463550186196167
C4_line_length,-0.09405521489494846,0.5521396885571747,0.44786031144282534,0.01182065464357012,0.09405521489494846
C4_arburg3,-0.09273041303265876,0.5403848938382761,0.45961510616172385,0.051192500525818946,0.09273041303265876
C3_skew,0.08770023664962459,0.5194684674011768,0.5194684674011768,0.34727202422612313,0.08770023664962459
C4_alpha_relative,-0.08192551642925655,0.5256025484079032,0.4743974515920968,0.21642751642401004,0.08192551642925655
C3-C4_low_gamma_plv,0.08027087897708124,0.5280969869288789,0.5280969869288789,0.17493066950370972,0.08027087897708124
C3_alpha_peak_frequency,0.07622132099967283,0.517579539022496,0.517579539022496,0.3960287182682787,0.07622132099967283
C3_spectral_edge_50,-0.058562093498997415,0.5233582119022233,0.47664178809777674,0.25941340593697737,0.058562093498997415
C3_beta_power,0.0495679811092083,0.5154668351564453,0.5154668351564453,0.4552619620513154,0.0495679811092083
C3-C4_low_gamma_coherence,-0.04652584897961057,0.5088917848069607,0.49110821519303927,0.6677856516895022,0.04652584897961057
C4_theta_power,-0.04536660822248136,0.5067198462530769,0.49328015374692313,0.7456995549110733,0.04536660822248136
C3-C4_alpha_plv,0.03949236869243431,0.5134331108741724,0.5134331108741724,0.5166802805892747,0.03949236869243431
C3_line_length,-0.01907093616227582,0.5269583645960852,0.47304163540391475,0.1930701410975384,0.01907093616227582
C4_alpha_peak_frequency,0.018092818868732628,0.5094643867893482,0.5094643867893482,0.6477641848486604,0.018092818868732628
C4_beta_power,0.004221906463432816,0.5022838262975687,0.49771617370243126,0.9123160006024538,0.004221906463432816
