dataset,subject,epoch,rating,laser_power,tsne_1,tsne_2,state,knn_predicted_state
ds005289,sub-032,7,8.95,3.75,48.79688,21.889732,4,4
ds005289,sub-032,8,5.32,3.75,49.342613,20.218258,4,4
ds005289,sub-032,9,3.91,3.75,49.092068,20.32482,4,4
ds005289,sub-033,0,8.04,3.5,-59.756584,-21.367207,1,1
ds005289,sub-033,1,8.44,3.5,-37.95116,33.421906,0,0
ds005289,sub-033,2,7.55,3.5,-33.030777,-13.509205,1,1
ds005289,sub-033,3,9.07,3.5,-13.389119,-0.86496353,1,1
ds005289,sub-033,4,5.6,3.5,-54.117363,-32.761982,1,1
ds005289,sub-033,5,8.03,3.5,-21.095314,-8.173974,1,1
ds005289,sub-033,6,8.06,3.5,18.288805,-31.607637,3,3
ds005289,sub-033,7,8.03,3.5,-17.917234,8.34812,2,2
ds005289,sub-033,8,7.94,3.5,-5.434911,8.124942,2,2
ds005289,sub-033,9,4.16,3.5,-23.011906,-33.321644,1,1
ds005289,sub-034,0,8.04,3.5,-59.84294,-21.420338,1,1
ds005289,sub-034,1,8.44,3.5,-37.968887,33.197163,0,0
ds005289,sub-034,2,7.55,3.5,-32.955605,-13.414597,1,1
ds005289,sub-034,3,9.07,3.5,-13.4282255,-0.8195787,1,1
ds005289,sub-034,4,5.6,3.5,-54.306454,-32.655807,1,1
ds005289,sub-034,5,8.03,3.5,-44.354023,-0.61749053,0,0
ds005289,sub-034,6,8.06,3.5,18.272505,-31.645885,3,3
ds005289,sub-034,7,8.03,3.5,-17.917154,8.354762,2,2
ds005289,sub-034,8,7.94,3.5,-5.405192,8.144987,2,2
ds005289,sub-034,9,4.16,3.5,-17.550718,-25.885462,1,1
ds005289,sub-035,0,5.01,3.5,24.222084,27.009441,2,2
ds005289,sub-035,1,7.01,3.5,20.187027,-55.5086,3,3
ds005289,sub-035,2,7.32,3.5,-9.796092,65.547325,2,2
ds005289,sub-035,3,7.13,3.5,9.375213,52.917896,2,2
ds005289,sub-035,4,6.61,3.5,28.836811,-25.139343,3,3
ds005289,sub-035,5,7.99,3.5,-4.5215483,50.685055,2,2
ds005289,sub-035,6,8.24,3.5,-38.44671,24.7793,0,0
ds005289,sub-035,7,6.72,3.5,61.442154,10.733045,4,4
ds005289,sub-035,8,7.55,3.5,54.057465,3.4433935,4,4
ds005289,sub-035,9,6.84,3.5,28.450394,-11.792919,3,3
ds005289,sub-036,0,4.07,2.75,-73.27168,-17.833328,0,0
ds005289,sub-036,1,5.07,2.75,-65.21597,-30.169962,1,1
ds005289,sub-036,2,7.03,2.75,-30.165426,-35.975178,1,1
ds005289,sub-036,3,7.06,2.75,-30.080729,-20.939651,1,1
ds005289,sub-036,4,6.0,2.75,-51.817886,-26.536278,1,1
ds005289,sub-036,5,6.02,2.75,-32.201447,-49.854553,1,1
ds005289,sub-036,6,8.1,2.75,-52.122524,-38.00897,1,1
ds005289,sub-036,7,9.05,2.75,-33.160015,-2.137377,0,0
ds005289,sub-036,8,4.06,2.75,-8.602795,6.5427613,2,2
ds005289,sub-036,9,7.1,2.75,-18.492163,-3.338941,1,1
ds005289,sub-037,0,8.0,4.0,41.744114,-9.016548,3,3
ds005289,sub-037,1,6.02,4.0,60.85966,-9.64456,4,4
ds005289,sub-037,2,9.06,4.0,33.026737,-13.089855,3,3
ds005289,sub-037,3,4.04,4.0,42.811287,-13.293619,3,3
ds005289,sub-037,4,8.06,4.0,56.28053,-29.663376,3,3
ds005289,sub-037,5,8.04,4.0,73.20804,-9.38699,4,4
ds005289,sub-037,6,9.99,4.0,73.26313,-9.305698,4,4
ds005289,sub-037,7,4.04,4.0,42.879215,-11.652441,3,3
ds005289,sub-037,8,9.04,4.0,41.536304,28.548935,4,4
ds005289,sub-037,9,9.04,4.0,44.88668,-26.010878,3,3
ds005289,sub-038,0,6.03,3.75,-7.493271,66.5877,2,2
ds005289,sub-038,1,5.5,3.75,17.550308,55.555405,2,2
ds005289,sub-038,2,6.02,3.75,47.436768,28.498201,4,4
ds005289,sub-038,3,5.52,3.75,8.254546,45.438675,2,2
ds005289,sub-038,4,6.71,3.75,8.530953,45.190746,2,2
ds005289,sub-038,5,5.02,3.75,17.721846,55.221554,2,2
ds005289,sub-038,6,5.49,3.75,19.25381,28.050373,2,2
ds005289,sub-039,0,5.99,3.0,-64.13846,1.3991574,0,0
ds005289,sub-039,1,6.07,3.0,-1.9929382,35.16404,2,2
ds005289,sub-039,2,5.02,3.0,28.561937,49.616364,2,2
ds005289,sub-039,3,7.03,3.0,32.86455,46.6911,2,2
ds005289,sub-039,4,6.05,3.0,34.561226,47.245586,2,2
ds005289,sub-039,5,8.02,3.0,37.460667,52.468105,2,2
ds005289,sub-039,6,7.05,3.0,33.524227,45.19412,2,2
ds005289,sub-039,7,6.72,3.0,-19.4752,1.4928702,0,0
ds005280,sub-001,0,0.0,3.5,-15.232929,11.243638,2,2
ds005280,sub-001,1,5.0,4.0,29.09195,-9.620427,3,3
ds005280,sub-001,2,5.0,4.0,63.039555,-2.8946297,4,4
ds005280,sub-001,3,3.0,3.5,40.331562,-14.558508,3,3
ds005280,sub-001,4,4.0,3.5,-10.20535,-30.872997,1,1
ds005280,sub-001,5,5.0,3.5,37.717678,-16.57477,3,3
ds005280,sub-001,6,5.0,3.5,25.702034,19.78604,2,2
ds005280,sub-001,7,6.0,4.0,38.27734,-0.72472554,4,4
ds005280,sub-001,8,4.0,3.5,-11.454088,-47.780384,1,1
ds005280,sub-001,9,5.0,4.0,-0.42867053,15.322344,2,2
ds005280,sub-001,10,5.0,3.5,33.569885,-15.25874,3,3
ds005280,sub-001,11,6.0,4.0,28.0074,-14.847881,3,3
ds005280,sub-001,12,5.0,3.5,15.473309,-26.415514,3,3
ds005280,sub-001,13,4.0,3.5,40.81217,-22.811901,3,3
ds005280,sub-001,14,5.0,4.0,13.612614,-10.681198,3,3
ds005280,sub-001,15,5.0,4.0,-4.513825,-12.546558,3,3
ds005280,sub-001,16,5.0,3.5,25.561668,-16.238396,3,3
ds005280,sub-001,17,4.0,4.0,45.168808,-24.86011,3,3
ds005280,sub-001,18,4.0,4.0,-4.005955,-28.666786,3,3
ds005280,sub-001,19,3.0,3.5,15.025914,-8.148407,3,3
ds005280,sub-001,20,7.0,3.5,36.563896,-12.1062355,3,3
ds005280,sub-001,21,4.0,3.5,54.270584,43.63213,4,4
